	2	3	4	
CPU 1.1	0.00	480000.00	4080000.00	
CPU 1.2	184000.00	148000.00	3988000.00	
CPU 1.3	0.00	212000.00	2908000.00	
CPU 1.4	0.00	338000.00	2062000.00	

Total	184000.00	1178000.00	13038000.00	
Average	184000.00	294500.00	3259500.00	
Maximum	184000.00	480000.00	4080000.00	
Minimum	184000.00	148000.00	2062000.00	
StDev	0.00	127054.12	830886.73	
Avg/Max	1.00	0.61	0.80	

