	1	2	3	4	
CPU 1.1	0.00	104000.00	212000.00	41429000.00	
CPU 1.2	0.00	232000.00	6331000.00	19558000.00	
CPU 1.3	0.00	1205000.00	418000.00	3297000.00	
CPU 1.4	1204000.00	2417000.00	212000.00	46726000.00	

Total	1204000.00	3958000.00	7173000.00	111010000.00	
Average	1204000.00	989500.00	1793250.00	27752500.00	
Maximum	1204000.00	2417000.00	6331000.00	46726000.00	
Minimum	1204000.00	104000.00	212000.00	3297000.00	
StDev	0.00	927646.62	2621220.65	17408774.12	
Avg/Max	1.00	0.41	0.28	0.59	

