	2	3	4	
CPU 1.1	0.00	6619000.00	9950000.00	
CPU 1.2	0.00	0.00	0.00	
CPU 1.3	2313000.00	0.00	46341000.00	
CPU 1.4	1205000.00	1474000.00	48015000.00	

Total	3518000.00	8093000.00	104306000.00	
Average	1759000.00	4046500.00	34768666.67	
Maximum	2313000.00	6619000.00	48015000.00	
Minimum	1205000.00	1474000.00	9950000.00	
StDev	554000.00	2572500.00	17562749.03	
Avg/Max	0.76	0.61	0.72	

