	2	3	4	
CPU 1.1	0.00	0.00	109533000.00	
CPU 1.2	0.00	1212000.00	142407000.00	
CPU 1.3	232000.00	5035000.00	113407000.00	
CPU 1.4	0.00	1242000.00	69150000.00	

Total	232000.00	7489000.00	434497000.00	
Average	232000.00	2496333.33	108624250.00	
Maximum	232000.00	5035000.00	142407000.00	
Minimum	232000.00	1212000.00	69150000.00	
StDev	0.00	1795150.19	26092101.94	
Avg/Max	1.00	0.50	0.76	

