	1	2	3	4	
CPU 1.1	0.00	0.00	1174000.00	1168000.00	
CPU 1.2	0.00	0.00	0.00	0.00	
CPU 1.3	0.00	0.00	18000.00	34000.00	
CPU 1.4	6000.00	401000.00	1749000.00	0.00	

Total	6000.00	401000.00	2941000.00	1202000.00	
Average	6000.00	401000.00	980333.33	601000.00	
Maximum	6000.00	401000.00	1749000.00	1168000.00	
Minimum	6000.00	401000.00	18000.00	34000.00	
StDev	0.00	0.00	719824.21	567000.00	
Avg/Max	1.00	1.00	0.56	0.51	

