	1	2	3	4	
CPU 1.1	0.00	0.00	156000.00	0.00	
CPU 1.2	0.00	0.00	0.00	0.00	
CPU 1.3	0.00	0.00	0.00	0.00	
CPU 1.4	0.00	0.00	19000.00	52000.00	

Total	0.00	0.00	175000.00	52000.00	
Average	0.00	0.00	87500.00	52000.00	
Maximum	0.00	0.00	156000.00	52000.00	
Minimum	0.00	0.00	19000.00	52000.00	
StDev	0.00	0.00	68500.00	0.00	
Avg/Max	-nan	-nan	0.56	1.00	

