	1	2	3	4	
CPU 1.1	765000.00	2562000.00	1363000.00	0.00	
CPU 1.2	3737000.00	61586000.00	18433000.00	0.00	
CPU 1.3	0.00	3336000.00	3741000.00	0.00	
CPU 1.4	0.00	3301000.00	39888000.00	2387000.00	

Total	4502000.00	70785000.00	63425000.00	2387000.00	
Average	2251000.00	17696250.00	15856250.00	2387000.00	
Maximum	3737000.00	61586000.00	39888000.00	2387000.00	
Minimum	765000.00	2562000.00	1363000.00	2387000.00	
StDev	1486000.00	25341643.99	15337847.20	0.00	
Avg/Max	0.60	0.29	0.40	1.00	

