	1	2	3	4	
CPU 1.1	0.00	0.00	1154000.00	1219000.00	
CPU 1.2	0.00	0.00	0.00	52000.00	
CPU 1.3	0.00	0.00	0.00	0.00	
CPU 1.4	0.00	0.00	0.00	0.00	

Total	0.00	0.00	1154000.00	1271000.00	
Average	0.00	0.00	1154000.00	635500.00	
Maximum	0.00	0.00	1154000.00	1219000.00	
Minimum	0.00	0.00	1154000.00	52000.00	
StDev	0.00	0.00	0.00	583500.00	
Avg/Max	-nan	-nan	1.00	0.52	

